https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1562112000,2019-07-03 00:00:00,ETH/GBP,231.83,240.42,231.24,240.42,29306.37,124.67
1562025600,2019-07-02 00:00:00,ETH/GBP,233.8,236.48,215.96,231.83,83378.28,369.34
1561939200,2019-07-01 00:00:00,ETH/GBP,229.43,237.11,223.88,233.8,27684.34,121.12
1561852800,2019-06-30 00:00:00,ETH/GBP,251.06,255.2,226.7,229.43,41116.48,170.39
1561766400,2019-06-29 00:00:00,ETH/GBP,243.47,256.01,231.11,251.06,157299.61,654.93
1561680000,2019-06-28 00:00:00,ETH/GBP,232.15,245.17,228.99,243.47,294394.94,1238.39
1561593600,2019-06-27 00:00:00,ETH/GBP,261.53,267.76,217.56,232.15,862211.8,3678.36
1561507200,2019-06-26 00:00:00,ETH/GBP,249.32,285.99,248.48,261.53,1201935.8,4564.74
1561420800,2019-06-25 00:00:00,ETH/GBP,243.36,249.6,239.38,249.32,32367.5,133.24
1561334400,2019-06-24 00:00:00,ETH/GBP,241.72,246.13,229.51,243.36,203149.04,868.43
1561248000,2019-06-23 00:00:00,ETH/GBP,244.38,251.86,240.91,241.72,25355.9,103.07
1561161600,2019-06-22 00:00:00,ETH/GBP,232.32,247.71,231.5,244.38,138081.46,571.7
1561075200,2019-06-21 00:00:00,ETH/GBP,214.57,232.9,214.57,232.32,29771.08,132.35
1560988800,2019-06-20 00:00:00,ETH/GBP,213.37,215.66,210.19,214.57,25027.49,118.21
1560902400,2019-06-19 00:00:00,ETH/GBP,210.09,214.61,210.09,213.37,2593.39,12.17
1560816000,2019-06-18 00:00:00,ETH/GBP,218.74,218.74,207.16,210.09,12138.95,56.42
1560729600,2019-06-17 00:00:00,ETH/GBP,213.8,219.71,212.63,218.74,14327.53,66.77
1560643200,2019-06-16 00:00:00,ETH/GBP,213.64,221.54,210.87,213.8,87158.55,406.92
1560556800,2019-06-15 00:00:00,ETH/GBP,208.99,216.35,208.32,213.64,24395.16,114.96
1560470400,2019-06-14 00:00:00,ETH/GBP,200.67,209.45,197.41,208.99,38466.86,191.77
1560384000,2019-06-13 00:00:00,ETH/GBP,206.94,208.09,199.93,200.67,27975.94,136.61
1560297600,2019-06-12 00:00:00,ETH/GBP,192.65,206.94,191.42,206.94,186896.64,931.59
1560211200,2019-06-11 00:00:00,ETH/GBP,194.31,196.01,187.1,192.65,15721.7,82.6
1560124800,2019-06-10 00:00:00,ETH/GBP,181.81,194.31,179.51,194.31,22249.24,118.12
1560038400,2019-06-09 00:00:00,ETH/GBP,192.21,192.21,178.26,181.81,51388.48,282.23
1559952000,2019-06-08 00:00:00,ETH/GBP,196.6,196.6,190.2,192.21,10589.11,54.93
1559865600,2019-06-07 00:00:00,ETH/GBP,196.93,198.73,192.99,196.6,49281.63,252.54
1559779200,2019-06-06 00:00:00,ETH/GBP,194.24,197.6,187.18,196.93,9572.49,49.68
1559692800,2019-06-05 00:00:00,ETH/GBP,189.7,195.59,188.02,194.24,14454.26,74.54
1559606400,2019-06-04 00:00:00,ETH/GBP,196.98,197.5,185.85,189.7,86973.27,453.76
1559520000,2019-06-03 00:00:00,ETH/GBP,212.27,212.27,195.6,196.98,78316.65,387.32
1559433600,2019-06-02 00:00:00,ETH/GBP,209.36,215.72,209.36,212.27,2782.75,13.09
1559347200,2019-06-01 00:00:00,ETH/GBP,210.11,218.66,207.02,209.36,85756.32,406.37
1559260800,2019-05-31 00:00:00,ETH/GBP,202.13,210.47,195.09,210.11,294532.08,1442.15
1559174400,2019-05-30 00:00:00,ETH/GBP,214.04,229.4,190.71,202.13,438508.36,2097.96
1559088000,2019-05-29 00:00:00,ETH/GBP,215.17,217.22,207.4,214.04,39043.83,184.41
1559001600,2019-05-28 00:00:00,ETH/GBP,216.47,217.4,207.99,215.17,55593.43,261.37
1558915200,2019-05-27 00:00:00,ETH/GBP,210.09,221.18,209.54,216.47,108101.87,509.24
1558828800,2019-05-26 00:00:00,ETH/GBP,196.62,213.67,194.29,210.09,95716.33,469.88
1558742400,2019-05-25 00:00:00,ETH/GBP,194.46,202.0,194.46,196.62,42131.16,210.4
1558656000,2019-05-24 00:00:00,ETH/GBP,192.67,200.82,192.67,194.46,53295.81,269.48
1558569600,2019-05-23 00:00:00,ETH/GBP,193.74,195.64,181.89,192.67,68870.13,364.12
1558483200,2019-05-22 00:00:00,ETH/GBP,202.69,204.75,190.47,193.74,71530.82,362.25
1558396800,2019-05-21 00:00:00,ETH/GBP,198.05,206.61,194.58,202.69,8920.25,44.45
1558310400,2019-05-20 00:00:00,ETH/GBP,204.79,204.79,187.65,198.05,112544.7,575.49
1558224000,2019-05-19 00:00:00,ETH/GBP,184.78,207.04,182.49,204.79,88113.56,447.07
1558137600,2019-05-18 00:00:00,ETH/GBP,192.4,193.39,183.43,184.78,17502.26,93.34
1558051200,2019-05-17 00:00:00,ETH/GBP,206.17,208.88,178.97,192.4,320955.03,1709.01
