https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1566345600,2019-08-21 00:00:00,ETH/EUR,177.24,178.0,162.2,169.2,1075570.19,6376.58
1566259200,2019-08-20 00:00:00,ETH/EUR,182.79,183.25,175.9,177.24,622291.35,3488.92
1566172800,2019-08-19 00:00:00,ETH/EUR,175.75,183.99,174.11,182.79,666958.66,3700.83
1566086400,2019-08-18 00:00:00,ETH/EUR,167.55,178.55,165.51,175.75,495688.68,2852.85
1566000000,2019-08-17 00:00:00,ETH/EUR,167.43,168.84,164.49,167.55,263521.49,1582.54
1565913600,2019-08-16 00:00:00,ETH/EUR,169.34,173.46,161.14,167.43,1146859.64,6821.62
1565827200,2019-08-15 00:00:00,ETH/EUR,167.39,170.66,156.24,169.34,1591192.51,9639.97
1565740800,2019-08-14 00:00:00,ETH/EUR,187.43,187.83,164.01,167.39,1916278.01,11011.49
1565654400,2019-08-13 00:00:00,ETH/EUR,188.75,188.91,182.33,187.43,656012.22,3518.86
1565568000,2019-08-12 00:00:00,ETH/EUR,193.63,193.9,187.85,188.75,510269.56,2686.72
1565481600,2019-08-11 00:00:00,ETH/EUR,182.78,193.79,182.34,193.63,793606.92,4184.52
1565395200,2019-08-10 00:00:00,ETH/EUR,186.61,189.98,177.41,182.78,1038209.06,5660.68
1565308800,2019-08-09 00:00:00,ETH/EUR,198.39,198.72,185.0,186.61,1162566.94,6135.24
1565222400,2019-08-08 00:00:00,ETH/EUR,202.28,202.59,192.49,198.39,1165067.39,5859.83
1565136000,2019-08-07 00:00:00,ETH/EUR,201.96,206.3,197.0,202.28,801094.22,3964.94
1565049600,2019-08-06 00:00:00,ETH/EUR,207.81,214.25,199.14,201.96,1689246.94,8174.48
1564963200,2019-08-05 00:00:00,ETH/EUR,200.22,212.41,200.04,207.81,2316724.94,11177.79
1564876800,2019-08-04 00:00:00,ETH/EUR,199.17,201.09,195.19,200.22,499698.36,2523.58
1564790400,2019-08-03 00:00:00,ETH/EUR,195.73,202.33,194.8,199.17,838500.63,4201.56
1564704000,2019-08-02 00:00:00,ETH/EUR,196.44,200.98,193.57,195.73,804942.65,4079.92
1564617600,2019-08-01 00:00:00,ETH/EUR,197.69,198.19,190.93,196.44,650636.05,3353.38
1564531200,2019-07-31 00:00:00,ETH/EUR,188.14,198.02,188.01,197.69,904031.45,4674.28
1564444800,2019-07-30 00:00:00,ETH/EUR,189.38,192.94,182.78,188.14,578359.22,3065.85
1564358400,2019-07-29 00:00:00,ETH/EUR,189.37,193.03,185.25,189.38,444879.74,2361.08
1564272000,2019-07-28 00:00:00,ETH/EUR,186.06,191.62,177.65,189.37,698439.95,3787.86
1564185600,2019-07-27 00:00:00,ETH/EUR,196.58,200.49,181.4,186.06,1830368.43,9622.09
1564099200,2019-07-26 00:00:00,ETH/EUR,197.59,198.04,191.0,196.58,794581.34,4072.66
1564012800,2019-07-25 00:00:00,ETH/EUR,195.14,202.6,193.53,197.59,1398302.68,7044.79
1563926400,2019-07-24 00:00:00,ETH/EUR,190.61,196.18,180.43,195.14,1708997.69,9137.5
1563840000,2019-07-23 00:00:00,ETH/EUR,193.97,196.71,186.79,190.61,1573885.65,8223.8
1563753600,2019-07-22 00:00:00,ETH/EUR,200.53,203.2,188.99,193.97,1303237.94,6696.08
1563667200,2019-07-21 00:00:00,ETH/EUR,203.39,204.14,192.68,200.53,974197.46,4901.63
1563580800,2019-07-20 00:00:00,ETH/EUR,196.93,209.2,195.6,203.39,994289.72,4887.97
1563494400,2019-07-19 00:00:00,ETH/EUR,200.39,200.88,189.95,196.93,1449007.33,7391.09
1563408000,2019-07-18 00:00:00,ETH/EUR,187.74,203.37,183.29,200.39,2938723.79,15090.98
1563321600,2019-07-17 00:00:00,ETH/EUR,176.84,195.55,170.81,187.74,2647938.05,14625.85
1563235200,2019-07-16 00:00:00,ETH/EUR,202.21,207.52,170.27,176.84,4802689.05,26239.07
1563148800,2019-07-15 00:00:00,ETH/EUR,200.83,208.39,180.0,202.21,3321169.31,16778.62
1563062400,2019-07-14 00:00:00,ETH/EUR,238.08,238.08,197.51,200.83,3048489.04,14132.51
1562976000,2019-07-13 00:00:00,ETH/EUR,243.61,243.61,231.08,238.08,637462.69,2699.04
1562889600,2019-07-12 00:00:00,ETH/EUR,238.85,247.72,236.57,243.61,495275.1,2045.01
1562803200,2019-07-11 00:00:00,ETH/EUR,256.43,256.43,231.58,238.85,2509580.42,10402.25
1562716800,2019-07-10 00:00:00,ETH/EUR,275.21,282.44,248.14,256.43,2593121.73,9916.02
1562630400,2019-07-09 00:00:00,ETH/EUR,279.91,283.7,270.12,275.21,1101077.3,3966.38
1562544000,2019-07-08 00:00:00,ETH/EUR,273.6,281.08,269.97,279.91,1563626.08,5669.77
1562457600,2019-07-07 00:00:00,ETH/EUR,256.96,276.99,253.32,273.6,1210405.79,4500.43
1562371200,2019-07-06 00:00:00,ETH/EUR,256.31,265.93,254.62,256.96,775657.97,2966.69
1562284800,2019-07-05 00:00:00,ETH/EUR,251.58,262.1,249.29,256.31,991867.65,3884.68
1562198400,2019-07-04 00:00:00,ETH/EUR,267.76,268.83,248.4,251.58,1584288.39,6101.57
1562112000,2019-07-03 00:00:00,ETH/EUR,258.72,268.68,257.03,267.76,1389024.13,5304.11
1562025600,2019-07-02 00:00:00,ETH/EUR,261.59,264.89,241.79,258.72,2685217.75,10624.4
1561939200,2019-07-01 00:00:00,ETH/EUR,255.04,266.34,248.55,261.59,2579249.92,10083.58
1561852800,2019-06-30 00:00:00,ETH/EUR,279.07,284.81,252.35,255.04,1383370.55,5176.03
1561766400,2019-06-29 00:00:00,ETH/EUR,271.28,285.36,256.38,279.07,1288981.92,4804.88
1561680000,2019-06-28 00:00:00,ETH/EUR,259.08,274.29,255.68,271.28,2499775.76,9398.06
1561593600,2019-06-27 00:00:00,ETH/EUR,291.91,299.79,242.39,259.08,9215034.6,34225.83
1561507200,2019-06-26 00:00:00,ETH/EUR,277.86,319.21,275.92,291.91,9217233.85,31520.82
1561420800,2019-06-25 00:00:00,ETH/EUR,272.96,279.39,267.65,277.86,1406402.77,5130.51
1561334400,2019-06-24 00:00:00,ETH/EUR,270.96,276.11,256.84,272.96,3039346.75,11349.22
1561248000,2019-06-23 00:00:00,ETH/EUR,272.93,283.21,269.19,270.96,1978491.14,7186.29
1561161600,2019-06-22 00:00:00,ETH/EUR,259.97,277.02,257.11,272.93,3484357.93,12986.43
1561075200,2019-06-21 00:00:00,ETH/EUR,241.48,261.15,241.48,259.97,3946976.64,15576.55
1560988800,2019-06-20 00:00:00,ETH/EUR,239.88,243.56,236.6,241.48,1065521.44,4450.49
1560902400,2019-06-19 00:00:00,ETH/EUR,236.67,241.48,236.36,239.88,389336.65,1629.73
1560816000,2019-06-18 00:00:00,ETH/EUR,244.15,244.58,232.4,236.67,909413.8,3809.44
1560729600,2019-06-17 00:00:00,ETH/EUR,239.71,245.95,238.71,244.15,1049703.23,4326.58
1560643200,2019-06-16 00:00:00,ETH/EUR,239.76,248.63,235.7,239.71,2217960.67,9191.01
1560556800,2019-06-15 00:00:00,ETH/EUR,235.47,243.29,233.01,239.76,730395.2,3080.64
1560470400,2019-06-14 00:00:00,ETH/EUR,225.5,236.57,220.31,235.47,2442632.2,10748.51
1560384000,2019-06-13 00:00:00,ETH/EUR,233.14,234.0,224.73,225.5,1443182.68,6304.53
1560297600,2019-06-12 00:00:00,ETH/EUR,216.59,233.58,214.74,233.14,2559041.32,11431.25
1560211200,2019-06-11 00:00:00,ETH/EUR,219.19,219.9,209.89,216.59,1197575.38,5588.18
1560124800,2019-06-10 00:00:00,ETH/EUR,204.86,219.62,200.98,219.19,1467808.55,6871.95
1560038400,2019-06-09 00:00:00,ETH/EUR,215.81,216.07,199.72,204.86,1047525.81,5042.94
1559952000,2019-06-08 00:00:00,ETH/EUR,220.19,221.38,213.38,215.81,278210.77,1283.75
1559865600,2019-06-07 00:00:00,ETH/EUR,221.61,224.01,216.97,220.19,1267083.41,5750.26
