https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1684972800000,2023-05-25 00:00:00,ETH/UST,1800.0,1816.6,1762.4,1805.9,3743674.5906477775,2073.02430403
1684886400000,2023-05-24 00:00:00,ETH/UST,1854.4,1854.5,1778.0,1800.1,5879342.022593257,3266.11967257
1684800000000,2023-05-23 00:00:00,ETH/UST,1817.0,1874.3,1815.5,1854.4,2974227.343083328,1603.87583212
1684713600000,2023-05-22 00:00:00,ETH/UST,1804.5,1828.0,1792.6,1817.9,2589955.4411278456,1424.69632055
1684627200000,2023-05-21 00:00:00,ETH/UST,1819.7,1828.7,1797.9,1805.0,853361.82308845,472.77663329
1684540800000,2023-05-20 00:00:00,ETH/UST,1812.7,1828.6,1807.0,1820.2,477376.00114754407,262.26568572
1684454400000,2023-05-19 00:00:00,ETH/UST,1799.9,1829.0,1797.4,1812.4,1027447.4311005882,566.89882537
1684368000000,2023-05-18 00:00:00,ETH/UST,1822.1,1831.9,1772.5,1802.1,1093922.689778832,607.02662992
1684281600000,2023-05-17 00:00:00,ETH/UST,1824.6,1836.2,1785.1,1821.9,1523887.791657702,836.42779058
1684195200000,2023-05-16 00:00:00,ETH/UST,1816.0,1831.5,1797.0,1824.4,2709403.8397449125,1485.09309348
1684108800000,2023-05-15 00:00:00,ETH/UST,1799.9,1847.0,1786.1,1817.2,892260.685506036,491.00852163
1684022400000,2023-05-14 00:00:00,ETH/UST,1795.0,1823.4,1790.8,1799.7,607799.6877059101,337.7227803
1683936000000,2023-05-13 00:00:00,ETH/UST,1807.6,1816.9,1786.7,1794.9,625275.502465032,348.36230568
1683849600000,2023-05-12 00:00:00,ETH/UST,1794.3,1815.3,1738.4,1807.6,2414000.5259808637,1335.47274064
1683763200000,2023-05-11 00:00:00,ETH/UST,1841.0,1841.4,1773.0,1796.4,4675130.18946432,2602.4995488
1683676800000,2023-05-10 00:00:00,ETH/UST,1847.0,1886.0,1790.5,1841.3,4771655.277414266,2591.45998882
1683590400000,2023-05-09 00:00:00,ETH/UST,1847.4,1860.8,1831.5,1846.9,1630620.128003339,882.89573231
1683504000000,2023-05-08 00:00:00,ETH/UST,1870.8,1884.1,1810.3,1847.5,6120712.00261495,3312.96996082
1683417600000,2023-05-07 00:00:00,ETH/UST,1897.4,1933.3,1869.8,1871.5,5317919.43756353,2841.52788542
1683331200000,2023-05-06 00:00:00,ETH/UST,1994.8,2017.8,1861.9,1897.1,6624971.357759441,3492.15716502
1683244800000,2023-05-05 00:00:00,ETH/UST,1876.7,1998.3,1876.1,1993.7,5717069.975553491,2867.56782643
1683158400000,2023-05-04 00:00:00,ETH/UST,1905.3,1916.0,1867.1,1877.4,2302034.9203280522,1226.18244398
1683072000000,2023-05-03 00:00:00,ETH/UST,1869.6,1915.4,1844.0,1905.1,5288328.9629098335,2775.8799868300002
1682985600000,2023-05-02 00:00:00,ETH/UST,1830.7,1880.3,1823.6,1870.1,3112082.5070630712,1664.1262537100001
1682899200000,2023-05-01 00:00:00,ETH/UST,1869.9,1885.6,1807.4,1831.9,2315488.5279582213,1263.98194659
1682812800000,2023-04-30 00:00:00,ETH/UST,1907.1,1939.0,1867.3,1868.9,1236481.89344251,661.6094459
1682726400000,2023-04-29 00:00:00,ETH/UST,1891.0,1916.6,1883.6,1908.2,505963.1467140741,265.15205257
1682640000000,2023-04-28 00:00:00,ETH/UST,1908.3,1923.6,1875.0,1891.8,1822008.47632245,963.10840275
1682553600000,2023-04-27 00:00:00,ETH/UST,1865.5,1937.1,1840.0,1908.8,9230225.070415007,4835.61665466
1682467200000,2023-04-26 00:00:00,ETH/UST,1865.5,1963.6,1785.9,1865.9,8808586.931457829,4720.82476631
1682380800000,2023-04-25 00:00:00,ETH/UST,1842.0,1877.8,1802.9,1869.3,2833565.796851895,1515.84325515
1682294400000,2023-04-24 00:00:00,ETH/UST,1861.7,1889.3,1806.9,1842.0,3559234.9212931204,1932.26651536
1682208000000,2023-04-23 00:00:00,ETH/UST,1873.7,1881.5,1838.1,1862.0,1726012.30685674,926.96686727
1682121600000,2023-04-22 00:00:00,ETH/UST,1848.9,1886.9,1843.2,1873.7,4899223.456493753,2614.73205769
1682035200000,2023-04-21 00:00:00,ETH/UST,1943.0,1955.0,1825.5,1849.0,11153386.00349754,6032.11790346
1681948800000,2023-04-20 00:00:00,ETH/UST,1934.3,1982.1,1916.0,1942.7,2682285.244693341,1380.69966783
1681862400000,2023-04-19 00:00:00,ETH/UST,2103.2,2103.8,1923.1,1934.9,9951568.498396426,5143.19525474
1681776000000,2023-04-18 00:00:00,ETH/UST,2074.3,2123.7,2052.2,2105.1,2482902.434715642,1179.47006542
